,index,rname,fcategory,Rating,lat,long,address,city,phone
0,0,Eataly,Italian,3.5,43.6696154170451,-79.3887948598768,55 Bloor Street W,Toronto,+1 437-374-0250
1,1,Steam Whistle Brewing,Breweries,4.5,43.6411408794168,-79.3852350950461,255 Bremner Boulevard,Toronto,+1 416-362-2337
2,2,Taro's Fish,Seafood Markets,4.5,43.76986,-79.37455,800 Sheppard Avenue E,Toronto,+1 416-730-8555
3,3,Northern Maverick Brewing Co,Brewpubs,3.5,43.6450941,-79.4029665,115 Bathurst Street,Toronto,+1 416-540-4030
4,4,Pai Northern Thai Kitchen,Thai,4.5,43.64784,-79.38872,18 Duncan Street,Toronto,+1 416-901-4724
5,5,Park Snacks,Ice Cream & Frozen Yogurt,4.0,43.6669006,-79.3631592,161 Winchester Street,Toronto,+1 647-668-6787
6,6,Amsterdam BrewHouse,Breweries,3.5,43.6379121284171,-79.3847308982186,245 Queens Quay W,Toronto,+1 416-504-1020
7,7,Mira,Peruvian,4.5,43.64417,-79.39639,420A Wellington Street W,Toronto,+1 647-951-3331
8,8,PŌPA,Burmese,4.5,43.76922,-79.38833,2901 Bayview Avenue,Toronto,
9,9,New Orleans Seafood & Steakhouse,Seafood,5.0,43.67775,-79.50611,267 Scarlett Road,Toronto,+1 416-766-7001
10,10,Chef & Somm,Caterers,5.0,43.7313984461704,-79.46578048617,804B Wilson Avenue,Toronto,+1 647-284-5530
11,11,Silver Spoon Take Out Catering,Caterers,3.0,43.79149,-79.25154,4800 Sheppard Avenue E,Scarborough,+1 416-293-2689
12,12,KINKA IZAKAYA ORIGINAL,Japanese,4.0,43.66045,-79.37915,398 Church Street,Toronto,+1 416-977-0999
13,13,The Bedford Academy,Pubs,3.5,43.66963,-79.39719,36 Prince Arthur Avenue,Toronto,+1 416-921-4600
14,14,Mill Street Retail Store,"Beer, Wine & Spirits",4.5,43.6504424511321,-79.3584427521102,55 Mill St,Toronto,+1 416-681-0338
15,15,Gusto 101,Italian,4.0,43.645002131066,-79.400309337027,101 Portland Street,Toronto,+1 416-504-9669
16,16,Aburi Hana,Sushi Bars,5.0,43.671011,-79.3925961,102 Yorkville Avenue,Toronto,+1 647-343-8887
17,17,Wide Open,Dive Bars,3.5,43.64759,-79.39556,139A Spadina Avenue,Toronto,
18,18,Cafe Landwer,Cafes,4.0,43.64875,-79.38491,165 University Avenue,Toronto,+1 647-748-1165
19,19,KINKA IZAKAYA HARBOURFRONT,Japanese,4.0,43.64157,-79.37978,110 Harbour Street,Toronto,+1 647-348-0110
20,20,Elle Cuisine,Caterers,5.0,43.6735113,-79.351375,56 Hampton Avenue,Toronto,+1 647-430-3553
21,21,Midfield,Wine Bars,3.5,43.64976,-79.43002,1434 Dundas Street W,Toronto,+1 647-345-7005
22,22,Sabai Sabai Kitchen and Bar,Laotian,4.0,43.6704534404129,-79.3847215948792,81 Bloor Street E,Toronto,+1 647-748-4225
23,23,Mineral,Noodles,4.5,43.67763,-79.38947,1027 Yonge Street,Toronto,+1 416-925-8565
